Plate type, harmonic mean, mean, standard deviation
Arabic Plate, 0.6325300044684152, 0.7085122562264856, 0.24233205007030728
English Plate, 0.3577208071475129, 0.46709354076874443, 0.30836991633216365
Total, 0.5799789026559877, 0.6800379269202396, 0.26273519023082925
